"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information ?","kisaan bhai aapke yahn par poore saptah me 2 -4 aur 5 september ko tej barish ki sambhawana hai baaki dino me hlki bundaa-baandi hone ki sambhawana hai","UTTAR PRADESH","BAGHPAT","KHEKRA                                            ","2018-09-01 06:38:29.893"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information ?","kisaan bhai aapke yahn par poore saptah me 2 -4 aur 5 september ko tej barish ki sambhawana hai baaki dino me hlki bundaa-baandi hone ki sambhawana hai","UTTAR PRADESH","BAGHPAT","KHEKRA                                            ","2018-09-01 06:38:29.893"
"KHARIF","AGRICULTURE","Others","Others","Weather","give me weather information.....?","kisan bhai is sptah  badal dikhai de rhe hai barish me ki sambhawana hai","UTTAR PRADESH","BAGHPAT","BINAULI                                           ","2018-09-01 06:51:23.407"
"KHARIF","AGRICULTURE","Others","Others","Weather","give me weather information.....?","kisan bhai is sptah  badal dikhai de rhe hai barish me ki sambhawana hai","UTTAR PRADESH","BAGHPAT","BINAULI                                           ","2018-09-01 06:51:23.407"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","crop protection in paddy?","Hexaconazole 5% SC 400 ml/acre 180 liter pani me milakar chidkav kare.","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2018-09-01 08:27:10.610"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","crop protection in paddy?","Hexaconazole 5% SC 400 ml/acre 180 liter pani me milakar chidkav kare.","UTTAR PRADESH","BAGHPAT","CHHAPRAULI                                        ","2018-09-01 08:27:10.610"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information ?","kisaan bhai aapke yahn par poore saptah me 2-3-4-5 september ko tej barish ki sambhawana hai baaki dino me hlki bundaa-baandi hone ki sambhawana hai","UTTAR PRADESH","BAGHPAT","PILANA                                            ","2018-09-01 09:01:40.973"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information ?","kisaan bhai aapke yahn par poore saptah me 2-3-4-5 september ko tej barish ki sambhawana hai baaki dino me hlki bundaa-baandi hone ki sambhawana hai","UTTAR PRADESH","BAGHPAT","PILANA                                            ","2018-09-01 09:01:40.973"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer problem in paddy crop ?","Cartap Hydrochloride 50% SP@400gm/acre 150-200 liter pani me gholkar chidakav kre","UTTAR PRADESH","BAGHPAT","KHEKRA                                            ","2018-09-01 12:40:47.977"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","stem borer problem in paddy crop ?","Cartap Hydrochloride 50% SP@400gm/acre 150-200 liter pani me gholkar chidakav kre","UTTAR PRADESH","BAGHPAT","KHEKRA                                            ","2018-09-01 12:40:47.977"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather information  ?","Farmers do here is likely to drizzle with the cloud September 06 |","UTTAR PRADESH","BAGHPAT","BINAULI                                           ","2018-09-01 12:45:31.570"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather information  ?","Farmers do here is likely to drizzle with the cloud September 06 |","UTTAR PRADESH","BAGHPAT","BINAULI                                           ","2018-09-01 12:45:31.570"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information?","kisan bhai aapke yhan es sptah baadl chhaye rhne ke sath-sath 01 se 04 September tk hlki se mdhym baarish hone ke aasar bne huye hai","UTTAR PRADESH","BAGHPAT","BINAULI                                           ","2018-09-01 12:52:35.580"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information?","kisan bhai aapke yhan es sptah baadl chhaye rhne ke sath-sath 01 se 04 September tk hlki se mdhym baarish hone ke aasar bne huye hai","UTTAR PRADESH","BAGHPAT","BINAULI                                           ","2018-09-01 12:52:35.580"
"JAYAD","AGRICULTURE","Others","Others","Weather","Weather information ?","kisan bhai aapke yaha 1 september se 6 september tak barish hone ki sambhavna hai.","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2018-09-01 12:59:28.267"
"JAYAD","AGRICULTURE","Others","Others","Weather","Weather information ?","kisan bhai aapke yaha 1 september se 6 september tak barish hone ki sambhavna hai.","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2018-09-01 12:59:28.267"
"KHARIF","HORTICULTURE","Fruits","Papaya","Government Schemes","want to know about kisan registration?","ap apna registration www.upagriculture.com par karaye.","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2018-09-01 13:23:23.347"
"KHARIF","HORTICULTURE","Fruits","Papaya","Government Schemes","want to know about kisan registration?","ap apna registration www.upagriculture.com par karaye.","UTTAR PRADESH","BAGHPAT","BARAUT                                            ","2018-09-01 13:23:23.347"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather information  ?","Farmers do here is likely to drizzle with the cloud September 06 |","UTTAR PRADESH","BAGHPAT","PILANA                                            ","2018-09-01 13:46:35.700"
