"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","information weather ?","kisan bhai aapke yaha aaj se 6 september  tak  baadal hai halki barish  ki sambhawna hai","UTTAR PRADESH","SULTANPUR","KADIPUR                                           ","2018-09-01 06:31:06.867"
"KHARIF","AGRICULTURE","Others","Others","Weather","information weather ?","kisan bhai aapke yaha aaj se 6 september  tak  baadal hai halki barish  ki sambhawna hai","UTTAR PRADESH","SULTANPUR","KADIPUR                                           ","2018-09-01 06:31:06.867"
"KHARIF","AGRICULTURE","Others","Others","Weather","Tell me about Weather information of Sultanpur?","Kisan bhai Aaj apke shetra me bhari barish hone ki sambhavna hai.","UTTAR PRADESH","SULTANPUR","KADIPUR                                           ","2018-09-01 07:01:09.593"
"KHARIF","AGRICULTURE","Others","Others","Weather","Tell me about Weather information of Sultanpur?","Kisan bhai Aaj apke shetra me bhari barish hone ki sambhavna hai.","UTTAR PRADESH","SULTANPUR","KADIPUR                                           ","2018-09-01 07:01:09.593"
"KHARIF","AGRICULTURE","Others","Others","Weather","Tell me about Weather information of Sultanpur?","Kisan bhai Aaj apke shetra me bhari barish hone ki sambhavna hai.","UTTAR PRADESH","SULTANPUR","AKHAND NAGAR                                      ","2018-09-01 07:14:19.723"
"KHARIF","AGRICULTURE","Others","Others","Weather","Tell me about Weather information of Sultanpur?","Kisan bhai Aaj apke shetra me bhari barish hone ki sambhavna hai.","UTTAR PRADESH","SULTANPUR","AKHAND NAGAR                                      ","2018-09-01 07:14:19.723"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Information ?","kisan bhai aapke yaha 1, 2, 3 september ko barish aur 4, 5, 6 september  ko bunda - baandi hone ki sambhavna hai.","UTTAR PRADESH","SULTANPUR","AKHAND NAGAR                                      ","2018-09-01 07:27:52.033"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Information ?","kisan bhai aapke yaha 1, 2, 3 september ko barish aur 4, 5, 6 september  ko bunda - baandi hone ki sambhavna hai.","UTTAR PRADESH","SULTANPUR","AKHAND NAGAR                                      ","2018-09-01 07:27:52.033"
"KHARIF","AGRICULTURE","Others","Others","Weather","GIVE ME ABOUT WEATHER INFORMATION ?","This week in your area the possibility of rain from today to 3rd","UTTAR PRADESH","SULTANPUR","GAURIGANJ                                         ","2018-09-01 07:54:59.993"
"KHARIF","AGRICULTURE","Others","Others","Weather","GIVE ME ABOUT WEATHER INFORMATION ?","This week in your area the possibility of rain from today to 3rd","UTTAR PRADESH","SULTANPUR","GAURIGANJ                                         ","2018-09-01 07:54:59.993"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ke jad ke kide lage hai?","kartop hydrocloride 18.5 kilogram/ hactaer ki dar se prayog kare","UTTAR PRADESH","SULTANPUR","P.P.KAMAICHA                                      ","2018-09-01 08:43:35.943"
"JAYAD","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","dhaan ke jad ke kide lage hai?","kartop hydrocloride 18.5 kilogram/ hactaer ki dar se prayog kare","UTTAR PRADESH","SULTANPUR","P.P.KAMAICHA                                      ","2018-09-01 08:43:35.943"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information about weather ?","The farmer's brother will remain in your area and there is possibility of rain from 1 to 5 september","UTTAR PRADESH","SULTANPUR","JAMO                                              ","2018-09-01 08:44:28.843"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information about weather ?","The farmer's brother will remain in your area and there is possibility of rain from 1 to 5 september","UTTAR PRADESH","SULTANPUR","JAMO                                              ","2018-09-01 08:44:28.843"
