"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information....?","kisan bhai aapke yaha 01 se 06 september tak pratidin baris ki sambhawna bni hui hai.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-01 06:45:04.967"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information....?","kisan bhai aapke yaha 01 se 06 september tak pratidin baris ki sambhawna bni hui hai.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-01 06:45:04.967"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather information  ?","Farmers do here is likely to drizzle with the cloud september 06 |","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Pawasa","2018-09-01 07:19:23.520"
"KHARIF","AGRICULTURE","Others","Others","Weather","Asking about weather information  ?","Farmers do here is likely to drizzle with the cloud september 06 |","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Pawasa","2018-09-01 07:19:23.520"
"KHARIF","AGRICULTURE","Others","Others","Weather","information about weather...?","You have the possibility of light rain till 6 September","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-01 07:23:48.017"
"KHARIF","AGRICULTURE","Others","Others","Weather","information about weather...?","You have the possibility of light rain till 6 September","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-01 07:23:48.017"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information ?","aj hlki si baris hone ki sambhawna hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2018-09-01 07:35:30.287"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information ?","aj hlki si baris hone ki sambhawna hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2018-09-01 07:35:30.287"
"KHARIF","FISHERIES","Marine","Marine","Deep Sea Fishing and Processing","fish traning ke bare me jankari ?","kisan bhai aap es number 0522-2441735 par sampark kre .","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-01 07:54:21.290"
"KHARIF","FISHERIES","Marine","Marine","Deep Sea Fishing and Processing","fish traning ke bare me jankari ?","kisan bhai aap es number 0522-2441735 par sampark kre .","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-01 07:54:21.290"
"KHARIF","AGRICULTURE","Others","Others","Weather","Plz give me weather information..?","kisan bhai aaj se 5 september tak hlki se tej baarish ki sambhavna hai .","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2018-09-01 07:55:10.493"
"KHARIF","AGRICULTURE","Others","Others","Weather","Plz give me weather information..?","kisan bhai aaj se 5 september tak hlki se tej baarish ki sambhavna hai .","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2018-09-01 07:55:10.493"
"KHARIF","AGRICULTURE","Others","Others","Weather","Gandhi attaik in Paddy Crop?","Mailathiyan 05%WP 8-10Kg/acre me pryog karen","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-01 09:05:02.730"
"KHARIF","AGRICULTURE","Others","Others","Weather","Gandhi attaik in Paddy Crop?","Mailathiyan 05%WP 8-10Kg/acre me pryog karen","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-01 09:05:02.730"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","insect problem in paddy...?","kisan bhai aap melathion powder 05% 08 kg/acre burkao kare.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-01 09:47:57.333"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Cultural Practices","insect problem in paddy...?","kisan bhai aap melathion powder 05% 08 kg/acre burkao kare.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-01 09:47:57.333"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","sheath rot problem in paddy","Validamycin 3% L 400-500 ml/acre liter pani me mila kar spray kare.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2018-09-01 10:11:40.823"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","sheath rot problem in paddy","Validamycin 3% L 400-500 ml/acre liter pani me mila kar spray kare.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2018-09-01 10:11:40.823"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Information District Sambhal....?","You are likely to get rains from today to September 6","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2018-09-01 10:22:43.530"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Information District Sambhal....?","You are likely to get rains from today to September 6","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2018-09-01 10:22:43.530"
"RABI","AGRICULTURE","Others","Others","Weather","about asked weather  information ?","es hapte mausam me badal ththa barish ki sambhwna bani hai .","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-01 10:41:37.203"
"RABI","AGRICULTURE","Others","Others","Weather","about asked weather  information ?","es hapte mausam me badal ththa barish ki sambhwna bani hai .","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-01 10:41:37.203"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Sambhal......?","Kisan bhai aapke yaha iss saptah halki bunda baandi hone ki sambhavana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-01 12:33:16.840"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Sambhal......?","Kisan bhai aapke yaha iss saptah halki bunda baandi hone ki sambhavana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-01 12:33:16.840"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Pest control in Paddy crop  ?","Dichlorvos 76% EC 350 ML/acre 200  liter paani me ghol kar spray kare","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Pawasa","2018-09-01 13:54:06.073"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Pest control in Paddy crop  ?","Dichlorvos 76% EC 350 ML/acre 200  liter paani me ghol kar spray kare","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Pawasa","2018-09-01 13:54:06.073"
"KHARIF","AGRICULTURE","Others","Others","Weather","about asked weather  information ?","es hapte mausam me badal ththa barish ki sambhwna bani hai .","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-01 13:54:47.647"
"KHARIF","AGRICULTURE","Others","Others","Weather","about asked weather  information ?","es hapte mausam me badal ththa barish ki sambhwna bani hai .","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-01 13:54:47.647"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information of weather… ?","Kisan bhai ap ke yaha aj se 06 september tk hlki barish ki sambhavna hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Baniyakheda","2018-09-01 14:23:29.927"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information of weather… ?","Kisan bhai ap ke yaha aj se 06 september tk hlki barish ki sambhavna hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Baniyakheda","2018-09-01 14:23:29.927"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information.........?","kisan bhai aapke kshetra me 01 se 06 september tak halki barish hone ki sambhawna hai.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-01 14:27:02.117"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information.........?","kisan bhai aapke kshetra me 01 se 06 september tak halki barish hone ki sambhawna hai.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-01 14:27:02.117"
"KHARIF","AGRICULTURE","Others","Others","Weather","pls, tell me weather information for sambhal?","kisan bhai aaj aap ke yaha 5 mm tak barish ki sambhavana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-01 15:02:01.510"
"KHARIF","AGRICULTURE","Others","Others","Weather","pls, tell me weather information for sambhal?","kisan bhai aaj aap ke yaha 5 mm tak barish ki sambhavana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-01 15:02:01.510"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information,","kisan bhai apke shetra me aaj se 5 september tak halki barish ki sambhawna bani hui hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2018-09-01 15:07:40.063"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information,","kisan bhai apke shetra me aaj se 5 september tak halki barish ki sambhawna bani hui hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2018-09-01 15:07:40.063"
"KHARIF","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","Sowing Time and Weather","sowing time of raya...?","dear farmer, time of sowing of raya is first week of september munth.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-01 15:08:30.717"
"KHARIF","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","Sowing Time and Weather","sowing time of raya...?","dear farmer, time of sowing of raya is first week of september munth.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-01 15:08:30.717"
"KHARIF","AGRICULTURE","Others","Others","Weather","information of weather..?","kisan bhai aapke yaha es poore saptah 06 september tak barish ki sambhawana hai.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2018-09-01 15:17:34.973"
"KHARIF","AGRICULTURE","Others","Others","Weather","information of weather..?","kisan bhai aapke yaha es poore saptah 06 september tak barish ki sambhawana hai.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2018-09-01 15:17:34.973"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Asking about weather information?","kisan bhai-2,3,4 september  tak  barish ki sambhvana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2018-09-01 17:46:06.540"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Asking about weather information?","kisan bhai-2,3,4 september  tak  barish ki sambhvana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2018-09-01 17:46:06.540"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information,","kisan bhai apke shetra me 2 se 4 september me halki barish hone ki sambhawna bani hui hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2018-09-01 18:27:04.970"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information,","kisan bhai apke shetra me 2 se 4 september me halki barish hone ki sambhawna bani hui hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2018-09-01 18:27:04.970"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ki jankari de ?","poore saptah halki baris va boonda-baandi tatha 03 septamber me achhi baris hone ka anuman hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2018-09-01 18:38:44.277"
"KHARIF","AGRICULTURE","Others","Others","Weather","mausam ki jankari de ?","poore saptah halki baris va boonda-baandi tatha 03 septamber me achhi baris hone ka anuman hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2018-09-01 18:38:44.277"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information ?","kisan bhai aapke yhan 2 - 6 september tak halki barish hone ki sambhawana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-01 19:09:55.160"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information ?","kisan bhai aapke yhan 2 - 6 september tak halki barish hone ki sambhawana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-01 19:09:55.160"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information .....?","kisan bhai aap ke yaha par 2 se 6 september tak baarish hone ki sambhavana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-01 20:43:46.283"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information .....?","kisan bhai aap ke yaha par 2 se 6 september tak baarish hone ki sambhavana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-01 20:43:46.283"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information of weather… ?","Kisan bhai ap ke yaha aj se 06 september tk hlki barish ki sambhavna hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-01 21:55:33.493"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information of weather… ?","Kisan bhai ap ke yaha aj se 06 september tk hlki barish ki sambhavna hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-01 21:55:33.493"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information?","7 september tak pratek din barish ki sambhawana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Pawasa","2018-09-02 06:54:45.540"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information?","7 september tak pratek din barish ki sambhawana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Pawasa","2018-09-02 06:54:45.540"
"KHARIF","AGRICULTURE","Others","Others","Weather","information about weather...?","You have the possibility of light rain till 7 September","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-02 07:36:20.050"
"KHARIF","AGRICULTURE","Others","Others","Weather","information about weather...?","You have the possibility of light rain till 7 September","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-02 07:36:20.050"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information about weather ?","The farmer's brother will remain in your area and there is possibility of rain from 2 to 7 september","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2018-09-02 07:41:32.037"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information about weather ?","The farmer's brother will remain in your area and there is possibility of rain from 2 to 7 september","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2018-09-02 07:41:32.037"
"KHARIF","AGRICULTURE","Others","Others","Weather","Inforamtion Of weather    ?","kisan bhai aaj se poore saptah baadal aayege hlki barish hone ki sambhavana hai aur 3 september ko bhari barish ho sakti hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2018-09-02 07:58:58.317"
"KHARIF","AGRICULTURE","Others","Others","Weather","Inforamtion Of weather    ?","kisan bhai aaj se poore saptah baadal aayege hlki barish hone ki sambhavana hai aur 3 september ko bhari barish ho sakti hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Rajpura","2018-09-02 07:58:58.317"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Information District Sambhal...?","You have the possibility of rain from today to 7th September.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-02 08:51:30.060"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Information District Sambhal...?","You have the possibility of rain from today to 7th September.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-02 08:51:30.060"
"KHARIF","AGRICULTURE","Others","Others","Weather","Inforamtion Of weather    ?","kisan bhai aaj se poore saptah baadal aayege hlki barish hone ki sambhavana hai aur 3 september ko bhari barish ho sakti hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Asmoli","2018-09-02 08:54:05.813"
"KHARIF","AGRICULTURE","Others","Others","Weather","Inforamtion Of weather    ?","kisan bhai aaj se poore saptah baadal aayege hlki barish hone ki sambhavana hai aur 3 september ko bhari barish ho sakti hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Asmoli","2018-09-02 08:54:05.813"
"KHARIF","AGRICULTURE","Others","Others","Weather","information weather ?","You are likely to have moderate rainfall every day this week.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Baniyakheda","2018-09-02 08:55:00.100"
"KHARIF","AGRICULTURE","Others","Others","Weather","information weather ?","You are likely to have moderate rainfall every day this week.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Baniyakheda","2018-09-02 08:55:00.100"
"KHARIF","AGRICULTURE","Others","Others","Weather","GIVE ME ABOUT WEATHER INFORMATION ?","is pure saptah aap ke kshetra me barish ki sambhavna bni hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Gunnor","2018-09-02 09:48:29.457"
"KHARIF","AGRICULTURE","Others","Others","Weather","GIVE ME ABOUT WEATHER INFORMATION ?","is pure saptah aap ke kshetra me barish ki sambhavna bni hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Gunnor","2018-09-02 09:48:29.457"
"KHARIF","AGRICULTURE","Others","Others","Weather","Plz give me weather information..?","kisan bhai aaj se 7 september tak bunda baandi ki sambhavna hai .","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2018-09-02 11:34:52.220"
"KHARIF","AGRICULTURE","Others","Others","Weather","Plz give me weather information..?","kisan bhai aaj se 7 september tak bunda baandi ki sambhavna hai .","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2018-09-02 11:34:52.220"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Information District Sambhal....?","You have the possibility of rain from today to 7th September.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-02 11:38:38.390"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Information District Sambhal....?","You have the possibility of rain from today to 7th September.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-02 11:38:38.390"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Give me about weather information.....?","kisan bhai aap ke yhan 2 se 7 september tak 5-8mm tak baris hone ki sammbhavna hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-02 12:36:10.250"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Give me about weather information.....?","kisan bhai aap ke yhan 2 se 7 september tak 5-8mm tak baris hone ki sammbhavna hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-02 12:36:10.250"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information?","3,4,5,6 aur 7 september ko barish ki sambhawana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-02 13:31:46.200"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information?","3,4,5,6 aur 7 september ko barish ki sambhawana hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-02 13:31:46.200"
"KHARIF","AGRICULTURE","Others","Others","Weather","Tell me weather information...?","Kisan Bhai, you will remain cloudy this week and there is a possibility of rain every day.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-02 14:10:54.103"
"KHARIF","AGRICULTURE","Others","Others","Weather","Tell me weather information...?","Kisan Bhai, you will remain cloudy this week and there is a possibility of rain every day.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Sambhal","2018-09-02 14:10:54.103"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information of weather… ?","Kisan bhai ap ke yaha aj se 07 september tk hlki barish ki sambhavna hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-02 14:36:14.733"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information of weather… ?","Kisan bhai ap ke yaha aj se 07 september tk hlki barish ki sambhavna hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-02 14:36:14.733"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information,","kisan bhai apke shetra me 2 se 4 september me halki barish hone ki sambhawna bani hui hai haalaki baki ke dino me 7 september tak baadal bhi bane rahenge","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-02 16:23:59.233"
"KHARIF","AGRICULTURE","Others","Others","Weather","weather information,","kisan bhai apke shetra me 2 se 4 september me halki barish hone ki sambhawna bani hui hai haalaki baki ke dino me 7 september tak baadal bhi bane rahenge","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Behjoi","2018-09-02 16:23:59.233"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","information about weather of sambhal ?","kisan bhai is hafte me barish ki sambhavna hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2018-09-02 16:46:29.497"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","information about weather of sambhal ?","kisan bhai is hafte me barish ki sambhavna hai","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Junawai","2018-09-02 16:46:29.497"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","pokkahboeng problem in sugarcane crop?","Farmer brother spray the propiconazole 25% EC 200 ml / acre by making a solution in 200 liter water.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Asmoli","2018-09-02 17:21:54.693"
"KHARIF","AGRICULTURE","Sugar and Starch Crops","Sugarcane (Noble Cane)","	Plant Protection	","pokkahboeng problem in sugarcane crop?","Farmer brother spray the propiconazole 25% EC 200 ml / acre by making a solution in 200 liter water.","UTTAR PRADESH","SAMBAL (BHIM NAGAR)","Asmoli","2018-09-02 17:21:54.693"
