"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Leaf folder insect problem in Paddy crop....?","Cartap hydrochloride 50% SP 400 gram / Acre 150 litre pani ke sath milaakar spray kare","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2018-09-01 07:11:03.083"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Leaf folder insect problem in Paddy crop....?","Cartap hydrochloride 50% SP 400 gram / Acre 150 litre pani ke sath milaakar spray kare","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2018-09-01 07:11:03.083"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Lucknow........?","Kisan bhai aapke yaha 01,02,03,04 september ke din 08-09 mm barish hone ki sambhavana hai","UTTAR PRADESH","LUCKNOW","GOSAIGANJ                                         ","2018-09-01 10:39:15.197"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Lucknow........?","Kisan bhai aapke yaha 01,02,03,04 september ke din 08-09 mm barish hone ki sambhavana hai","UTTAR PRADESH","LUCKNOW","GOSAIGANJ                                         ","2018-09-01 10:39:15.197"
"KHARIF","AGRICULTURE","Others","Others","Weather","About weather information?","Farmer brother, there is a possibility of rain on September 2,3 & 4.","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR                                     ","2018-09-01 11:07:55.570"
"KHARIF","AGRICULTURE","Others","Others","Weather","About weather information?","Farmer brother, there is a possibility of rain on September 2,3 & 4.","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR                                     ","2018-09-01 11:07:55.570"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","plant protection in sesame crop ?","Triazophose 40% EC@2ml/liter of water","UTTAR PRADESH","LUCKNOW","MALIHABAD                                         ","2018-09-01 11:29:29.173"
"KHARIF","AGRICULTURE","Oilseeds","Sesame (Gingelly/Til)/Sesamum","	Plant Protection	","plant protection in sesame crop ?","Triazophose 40% EC@2ml/liter of water","UTTAR PRADESH","LUCKNOW","MALIHABAD                                         ","2018-09-01 11:29:29.173"
"KHARIF","HORTICULTURE","Plantation Crops","Jatropha (Ratanjot)","Cultural Practices","Sowing time of Jatropha ...?","Jatropha is planted by seed, cutting and plant. Sowing of seeds in the nursery is done in the months of February-March and May-June.","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR                                     ","2018-09-01 11:51:44.337"
"KHARIF","HORTICULTURE","Plantation Crops","Jatropha (Ratanjot)","Cultural Practices","Sowing time of Jatropha ...?","Jatropha is planted by seed, cutting and plant. Sowing of seeds in the nursery is done in the months of February-March and May-June.","UTTAR PRADESH","LUCKNOW","SAROJANINAGAR                                     ","2018-09-01 11:51:44.337"
"KHARIF","HORTICULTURE","Vegetables","Mushroom","Cultural Practices","Information of mushroom seed ...?","For more information regarding Mushroom, contact the garden department of the district.","UTTAR PRADESH","LUCKNOW","CHINHAT                                           ","2018-09-01 13:41:11.840"
"KHARIF","HORTICULTURE","Vegetables","Mushroom","Cultural Practices","Information of mushroom seed ...?","For more information regarding Mushroom, contact the garden department of the district.","UTTAR PRADESH","LUCKNOW","CHINHAT                                           ","2018-09-01 13:41:11.840"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information ?","Kisan bhai aap ke yaha 6 September tak halke badal rahenge aur halki barish ki sambhavna hai.","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2018-09-01 14:09:33.950"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information ?","Kisan bhai aap ke yaha 6 September tak halke badal rahenge aur halki barish ki sambhavna hai.","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2018-09-01 14:09:33.950"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","QUERY NOT DEFINED PROPERLY","KINDLY CHECKING THE PLANT","UTTAR PRADESH","LUCKNOW","MALIHABAD                                         ","2018-09-01 17:20:21.277"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Fertilizer Use and Availability","QUERY NOT DEFINED PROPERLY","KINDLY CHECKING THE PLANT","UTTAR PRADESH","LUCKNOW","MALIHABAD                                         ","2018-09-01 17:20:21.277"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","leaf cruling in brinjal ..?","Dear farmer use to Acephate 75% SP  2g /liter water splash in the field","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2018-09-01 17:43:07.763"
"KHARIF","HORTICULTURE","Vegetables","Brinjal","	Plant Protection	","leaf cruling in brinjal ..?","Dear farmer use to Acephate 75% SP  2g /liter water splash in the field","UTTAR PRADESH","LUCKNOW","BAKSHI-KA-TALAB                                   ","2018-09-01 17:43:07.763"
