"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Information ?","kisan bhai aapke yaha 1, 2, 3, 4 september  ko barish hone ki sambhavna hai.","UTTAR PRADESH","UNNAO","HASANGANJ                                         ","2018-09-01 07:19:52.457"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather Information ?","kisan bhai aapke yaha 1, 2, 3, 4 september  ko barish hone ki sambhavna hai.","UTTAR PRADESH","UNNAO","HASANGANJ                                         ","2018-09-01 07:19:52.457"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","Insect control of sesame crops ...?","Qunalafas 25 E.C. Spray at the rate of 1.25 L / H","UTTAR PRADESH","UNNAO","MIANGANJ                                          ","2018-09-01 08:06:10.050"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","	Plant Protection	","Insect control of sesame crops ...?","Qunalafas 25 E.C. Spray at the rate of 1.25 L / H","UTTAR PRADESH","UNNAO","MIANGANJ                                          ","2018-09-01 08:06:10.050"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","fasal sambandhi massage laga den?","Crop related facility has been started","UTTAR PRADESH","UNNAO","MIANGANJ                                          ","2018-09-01 08:24:15.237"
"KHARIF","AGRICULTURE","Others","Others","Government Schemes","fasal sambandhi massage laga den?","Crop related facility has been started","UTTAR PRADESH","UNNAO","MIANGANJ                                          ","2018-09-01 08:24:15.237"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Disease control in paddy crop   ?","COPPER OXYCHLORIDE 50% WP 500-600 gram/acre 200 liter paani me ghol kar spray kare","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2018-09-01 09:28:35.660"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Plant Protection	","Disease control in paddy crop   ?","COPPER OXYCHLORIDE 50% WP 500-600 gram/acre 200 liter paani me ghol kar spray kare","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2018-09-01 09:28:35.660"
"KHARIF","AGRICULTURE","Others","Others","Weather","Tell me about Weather information of Unnao?","Kisan bhai Aaj apke shetra me badal chaye rahenge, halki bunda bandi hone sambhavna hai.","UTTAR PRADESH","UNNAO","MIANGANJ                                          ","2018-09-01 10:54:07.393"
"KHARIF","AGRICULTURE","Others","Others","Weather","Tell me about Weather information of Unnao?","Kisan bhai Aaj apke shetra me badal chaye rahenge, halki bunda bandi hone sambhavna hai.","UTTAR PRADESH","UNNAO","MIANGANJ                                          ","2018-09-01 10:54:07.393"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","haddi churn me phasphoras ki matra ?","haddi churn me phasphoras ki matra 1.8-2.5 % hota hai.","UTTAR PRADESH","UNNAO","HASANGANJ                                         ","2018-09-01 11:28:48.677"
"KHARIF","AGRICULTURE","Others","Others","	Plant Protection	","haddi churn me phasphoras ki matra ?","haddi churn me phasphoras ki matra 1.8-2.5 % hota hai.","UTTAR PRADESH","UNNAO","HASANGANJ                                         ","2018-09-01 11:28:48.677"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information about weather condition...?","There will be cloudy weather with possibility of rain at 2 to 4 September","UTTAR PRADESH","UNNAO","ASOHA                                             ","2018-09-01 11:34:08.417"
"KHARIF","AGRICULTURE","Others","Others","Weather","Information about weather condition...?","There will be cloudy weather with possibility of rain at 2 to 4 September","UTTAR PRADESH","UNNAO","ASOHA                                             ","2018-09-01 11:34:08.417"
"JAYAD","AGRICULTURE","Others","Others","Cultural Practices","dhaan ko bechane ke liye online ke date kya hai?","31 agust last date thi","UTTAR PRADESH","UNNAO","AURAS                                             ","2018-09-01 12:05:05.900"
"JAYAD","AGRICULTURE","Others","Others","Cultural Practices","dhaan ko bechane ke liye online ke date kya hai?","31 agust last date thi","UTTAR PRADESH","UNNAO","AURAS                                             ","2018-09-01 12:05:05.900"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","pashu samsya ke bare me jankari de.....?","pashu samsya ke lia is number par samprk kare-18001805141","UTTAR PRADESH","UNNAO","MIANGANJ                                          ","2018-09-01 12:11:07.263"
"KHARIF","ANIMAL HUSBANDRY","Animal","Bovine(Cow,Buffalo)","Animal Breeding","pashu samsya ke bare me jankari de.....?","pashu samsya ke lia is number par samprk kare-18001805141","UTTAR PRADESH","UNNAO","MIANGANJ                                          ","2018-09-01 12:11:07.263"
"KHARIF","AGRICULTURE","Others","Others","Weather","about asked weather  information ?","es hapte mausam me badal ththa barish ki sambhwna bani hai .","UTTAR PRADESH","UNNAO","SAFIPUR                                           ","2018-09-01 12:27:40.923"
"KHARIF","AGRICULTURE","Others","Others","Weather","about asked weather  information ?","es hapte mausam me badal ththa barish ki sambhwna bani hai .","UTTAR PRADESH","UNNAO","SAFIPUR                                           ","2018-09-01 12:27:40.923"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","rotting plant of bottle gourd?","Farmer brother, You can make copper oxychloride with 50% WP 2 gram / liters of water and make a batter.","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2018-09-01 12:54:53.360"
"KHARIF","HORTICULTURE","Vegetables","Bottle Gourd ","	Plant Protection	","rotting plant of bottle gourd?","Farmer brother, You can make copper oxychloride with 50% WP 2 gram / liters of water and make a batter.","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2018-09-01 12:54:53.360"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","Insect management in Mango ?","Kisan bhai aap Chloropyriphos 20% EC @ 1 liter /acre ka prayog kare .","UTTAR PRADESH","UNNAO","HASANGANJ                                         ","2018-09-01 14:22:06.793"
"KHARIF","HORTICULTURE","Fruits","Mango","	Plant Protection	","Insect management in Mango ?","Kisan bhai aap Chloropyriphos 20% EC @ 1 liter /acre ka prayog kare .","UTTAR PRADESH","UNNAO","HASANGANJ                                         ","2018-09-01 14:22:06.793"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Weather information..?","kisan bhai apke yaha 3 september tak halki barish aur aage 6 september tak boonda-baandi ki sambhavna hai.","UTTAR PRADESH","UNNAO","FATEHPUR CHAURASI                                 ","2018-09-01 17:11:20.733"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","Weather information..?","kisan bhai apke yaha 3 september tak halki barish aur aage 6 september tak boonda-baandi ki sambhavna hai.","UTTAR PRADESH","UNNAO","FATEHPUR CHAURASI                                 ","2018-09-01 17:11:20.733"
"KHARIF","AGRICULTURE","Others","Others","Weather","information of weather..?","kisan bhai aapke yahan es saptah 04 september tak barish ki sambhawana hai.","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2018-09-01 17:14:13.567"
"KHARIF","AGRICULTURE","Others","Others","Weather","information of weather..?","kisan bhai aapke yahan es saptah 04 september tak barish ki sambhawana hai.","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2018-09-01 17:14:13.567"
"KHARIF","AGRICULTURE","Others","Others","Weather","information of weather..?","kisan bhai aapke yaha es saptah 04 september tak barish ki sambhawana hai.","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2018-09-01 18:08:53.387"
"KHARIF","AGRICULTURE","Others","Others","Weather","information of weather..?","kisan bhai aapke yaha es saptah 04 september tak barish ki sambhawana hai.","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2018-09-01 18:08:53.387"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information ?","kisan bhai aaj 4 september tak halki baris hone ki sambhawna hai","UTTAR PRADESH","UNNAO","BANGARMAU                                         ","2018-09-01 18:10:09.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","weather information ?","kisan bhai aaj 4 september tak halki baris hone ki sambhawna hai","UTTAR PRADESH","UNNAO","BANGARMAU                                         ","2018-09-01 18:10:09.000"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","dhan ki jadon me kit laga hai ?","cartap hydrochloride 4 % gr 8-10 kg /acre daale","UTTAR PRADESH","UNNAO","PURWA                                             ","2018-09-01 18:37:09.317"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","	Field Preparation	","dhan ki jadon me kit laga hai ?","cartap hydrochloride 4 % gr 8-10 kg /acre daale","UTTAR PRADESH","UNNAO","PURWA                                             ","2018-09-01 18:37:09.317"
"KHARIF","AGRICULTURE","Cereals","Paddy (Dhan)","Weather","ASKING ABOUT WEATHER INFORMATION","CLOUDY WEATHER TILL 07 SEPTEMBER BUT NO CHANCES OF RAIN","UTTAR PRADESH","UNNAO","BICHHIYA                                          ","2018-09-01 19:38:18.750"
