"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"0","","","","","","","UTTAR PRADESH","JALAUN","RAMPURA                                           ","2018-10-01 17:34:29.213"
"0","","","","","","","UTTAR PRADESH","JALAUN","RAMPURA                                           ","2018-10-01 17:34:29.213"
"0","AGRICULTURE","Others","Others","","Weather information...?
","Kisan bhai apke yaha es saptah me 06 October tak barish ki sambhavna nahi hai.","UTTAR PRADESH","JALAUN","MAHEVA                                            ","2018-10-01 18:49:08.273"
"0","AGRICULTURE","Others","Others","","Weather information...?
","Kisan bhai apke yaha es saptah me 06 October tak barish ki sambhavna nahi hai.","UTTAR PRADESH","JALAUN","MAHEVA                                            ","2018-10-01 18:49:08.273"
"0","AGRICULTURE","Others","Others","","Information about weather..?","Kisan bhai aap ke yaha aaj se 7 october tak barish hone ki sambhavana nahi hai
","UTTAR PRADESH","JALAUN","MADHOGARH                                         ","2018-10-02 16:42:29.180"
"0","AGRICULTURE","Others","Others","","Information about weather..?","Kisan bhai aap ke yaha aaj se 7 october tak barish hone ki sambhavana nahi hai
","UTTAR PRADESH","JALAUN","MADHOGARH                                         ","2018-10-02 16:42:29.180"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Jalaun district ...?","This week you are likely to have light drizzle from 3 to 5 October.","UTTAR PRADESH","JALAUN","KONCH                                             ","2018-10-03 06:03:24.213"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Jalaun district ...?","This week you are likely to have light drizzle from 3 to 5 October.","UTTAR PRADESH","JALAUN","KONCH                                             ","2018-10-03 06:03:24.213"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Jalaun district ...?","Kisan Bhai This week you are likely to have a clear weather","UTTAR PRADESH","JALAUN","MADHOGARH                                         ","2018-10-04 11:09:08.830"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Jalaun district ...?","Kisan Bhai This week you are likely to have a clear weather","UTTAR PRADESH","JALAUN","MADHOGARH                                         ","2018-10-04 11:09:08.830"
"0","AGRICULTURE","Others","Others","","Please give me weather information in Jalaun...?
","kisan bhai aap ke block me 4 actuber se 9 actuber tak barish hone ki koi sambhawana nahi hai
","UTTAR PRADESH","JALAUN","KUTHAUND                                          ","2018-10-04 16:32:24.793"
"0","AGRICULTURE","Others","Others","","Please give me weather information in Jalaun...?
","kisan bhai aap ke block me 4 actuber se 9 actuber tak barish hone ki koi sambhawana nahi hai
","UTTAR PRADESH","JALAUN","KUTHAUND                                          ","2018-10-04 16:32:24.793"
"0","AGRICULTURE","Others","","","information about weather in dakore.....?","You have no chance of rain till 9th ??October
","UTTAR PRADESH","JALAUN","DAKORE                                            ","2018-10-04 20:13:29.030"
"0","AGRICULTURE","Others","","","information about weather in dakore.....?","You have no chance of rain till 9th ??October
","UTTAR PRADESH","JALAUN","DAKORE                                            ","2018-10-04 20:13:29.030"
"0","","","","","","","UTTAR PRADESH","JALAUN","KONCH                                             ","2018-10-05 08:17:48.810"
"0","","","","","","","UTTAR PRADESH","JALAUN","KONCH                                             ","2018-10-05 08:17:48.810"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Mentha","Nutrient Management","Nutrient management of mentha crops ...?","Spray the Mentha at the rate of 5 grams of water per liter of NPK 19:19:19","UTTAR PRADESH","JALAUN","JALAUN                                            ","2018-10-05 08:54:40.150"
"KHARIF","HORTICULTURE","Medicinal and Aromatic Plants","Mentha","Nutrient Management","Nutrient management of mentha crops ...?","Spray the Mentha at the rate of 5 grams of water per liter of NPK 19:19:19","UTTAR PRADESH","JALAUN","JALAUN                                            ","2018-10-05 08:54:40.150"
"0","AGRICULTURE","Others","Others","","Solar Pump Ke Bare Me Jankari De ?
","kisan bhai 2 HP solar pump par aapko-50820 rupay 3HP par-80997 rupay aur  5 HP par 205200 rupay dene hote hai .adhik jankari ke liye apne jile ke krishi up nideshak se sampark kare
","UTTAR PRADESH","JALAUN","DAKORE                                            ","2018-10-05 10:16:17.680"
"0","AGRICULTURE","Others","Others","","Solar Pump Ke Bare Me Jankari De ?
","kisan bhai 2 HP solar pump par aapko-50820 rupay 3HP par-80997 rupay aur  5 HP par 205200 rupay dene hote hai .adhik jankari ke liye apne jile ke krishi up nideshak se sampark kare
","UTTAR PRADESH","JALAUN","DAKORE                                            ","2018-10-05 10:16:17.680"
"0","AGRICULTURE","Others","Others","","anudan ke liye .....?","kisan bhai aap www.upagriculture.nic.in pe rajister kare","UTTAR PRADESH","JALAUN","KADAURA                                           ","2018-10-05 14:06:42.363"
"0","AGRICULTURE","Others","Others","","anudan ke liye .....?","kisan bhai aap www.upagriculture.nic.in pe rajister kare","UTTAR PRADESH","JALAUN","KADAURA                                           ","2018-10-05 14:06:42.363"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","insect problem in paddy crop  ?","kisan bhai ap bifenthreen 10% 320 ml matra parti acre ki dar se spray karen ","UTTAR PRADESH","JALAUN","MADHOGARH                                         ","2018-10-05 15:49:21.847"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","insect problem in paddy crop  ?","kisan bhai ap bifenthreen 10% 320 ml matra parti acre ki dar se spray karen ","UTTAR PRADESH","JALAUN","MADHOGARH                                         ","2018-10-05 15:49:21.847"
"0","AGRICULTURE","Others","Others","","weather forecast information  .....?                                          ","There is a no possibility of rainfall from  october 06  to october 10 in your area.                                                                          ","UTTAR PRADESH","JALAUN","DAKORE                                            ","2018-10-05 20:39:39.693"
"0","AGRICULTURE","Others","Others","","weather forecast information  .....?                                          ","There is a no possibility of rainfall from  october 06  to october 10 in your area.                                                                          ","UTTAR PRADESH","JALAUN","DAKORE                                            ","2018-10-05 20:39:39.693"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","Cultural Practices","Sowing time of peas crops ...?","To get a good yield, complete the rabi crop from mid-October to mid-November. Due to delay in seed production, there is considerable loss of yield","UTTAR PRADESH","JALAUN","MAHEVA                                            ","2018-10-06 11:49:02.570"
"KHARIF","HORTICULTURE","Vegetables","Pea (Vegetable)","Cultural Practices","Sowing time of peas crops ...?","To get a good yield, complete the rabi crop from mid-October to mid-November. Due to delay in seed production, there is considerable loss of yield","UTTAR PRADESH","JALAUN","MAHEVA                                            ","2018-10-06 11:49:02.570"
"0","HORTICULTURE","Vegetables","Pea (Vegetable)","","Kisan mela kanpur 2018 ...?","kisan mela 13-16 october me lag raha hai .","UTTAR PRADESH","JALAUN","MADHOGARH                                         ","2018-10-06 16:16:28.550"
"0","HORTICULTURE","Vegetables","Pea (Vegetable)","","Kisan mela kanpur 2018 ...?","kisan mela 13-16 october me lag raha hai .","UTTAR PRADESH","JALAUN","MADHOGARH                                         ","2018-10-06 16:16:28.550"
"0","AGRICULTURE","Others","Others","","plz give me weather information?","kisan bhai pure sptah barish ki koi sambhavna nhi hai
","UTTAR PRADESH","JALAUN","MADHOGARH                                         ","2018-10-07 07:57:48.663"
"0","AGRICULTURE","Others","Others","","plz give me weather information?","kisan bhai pure sptah barish ki koi sambhavna nhi hai
","UTTAR PRADESH","JALAUN","MADHOGARH                                         ","2018-10-07 07:57:48.663"
"0","AGRICULTURE","Others","Others","","Information Of Weather in      ?
","Kisan bhai aaj se poore saptah mausam saf rahega aur Barish hone ki koi sambhavana nahi hai 
","UTTAR PRADESH","JALAUN","JALAUN                                            ","2018-10-07 08:16:10.777"
"0","AGRICULTURE","Others","Others","","Information Of Weather in      ?
","Kisan bhai aaj se poore saptah mausam saf rahega aur Barish hone ki koi sambhavana nahi hai 
","UTTAR PRADESH","JALAUN","JALAUN                                            ","2018-10-07 08:16:10.777"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Jalaun district ...?","Kisan Bhai This week you are likely to have a clear weather","UTTAR PRADESH","JALAUN","KONCH                                             ","2018-10-07 09:10:28.397"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Jalaun district ...?","Kisan Bhai This week you are likely to have a clear weather","UTTAR PRADESH","JALAUN","KONCH                                             ","2018-10-07 09:10:28.397"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Jalaun district ...?","Kisan Bhai This week you are likely to have a clear weather","UTTAR PRADESH","JALAUN","KADAURA                                           ","2018-10-07 11:29:33.933"
