"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"0","FISHERIES","Marine","Marine","","TELL ME ABOUT FISH PRODUCTION "," FISH PRODUCTION PLEASE CONTACT YOUR NEAREST FISH DEPARTMENT ","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Hapur","2018-10-01 09:40:42.400"
"0","FISHERIES","Marine","Marine","","TELL ME ABOUT FISH PRODUCTION "," FISH PRODUCTION PLEASE CONTACT YOUR NEAREST FISH DEPARTMENT ","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Hapur","2018-10-01 09:40:42.400"
"0","","","","","","","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Garh Mukteshwar","2018-10-01 17:12:30.197"
"0","","","","","","","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Garh Mukteshwar","2018-10-01 17:12:30.197"
"0","","","","","","","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Simbholi","2018-10-03 13:18:17.060"
"0","","","","","","","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Simbholi","2018-10-03 13:18:17.060"
"0","AGRICULTURE","Others","Others","","Information about weather ?","Kisan bhai aapke shetra mein 4 october se 9 october mein barish ki sambhavna nahi hai .","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Garh Mukteshwar","2018-10-04 11:08:24.023"
"0","AGRICULTURE","Others","Others","","Information about weather ?","Kisan bhai aapke shetra mein 4 october se 9 october mein barish ki sambhavna nahi hai .","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Garh Mukteshwar","2018-10-04 11:08:24.023"
"0","AGRICULTURE","Others","Others","","Weather information………?","Farmer brother , in the next five days the weather will be clear with light clouds in your area.
","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Dhaulana","2018-10-04 14:56:52.987"
"0","AGRICULTURE","Others","Others","","Weather information………?","Farmer brother , in the next five days the weather will be clear with light clouds in your area.
","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Dhaulana","2018-10-04 14:56:52.987"
"0","AGRICULTURE","Cereals","Wheat","","information of whaet varities   ?","gehu ki prajatiya    U.P.-2338, WH-542, PBW-343, U.P.-2382, HD-2687, K-9107, P.B.W.-502, K .-9006, DBW-17, PBW-550, K-307 (Centenary), HD-2967","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Dhaulana","2018-10-05 09:44:59.683"
"0","AGRICULTURE","Cereals","Wheat","","information of whaet varities   ?","gehu ki prajatiya    U.P.-2338, WH-542, PBW-343, U.P.-2382, HD-2687, K-9107, P.B.W.-502, K .-9006, DBW-17, PBW-550, K-307 (Centenary), HD-2967","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Dhaulana","2018-10-05 09:44:59.683"
"0","HORTICULTURE","Vegetables","","","pea seed rate ?","kisan bhai aap matar ke beej dar 80 kg/hectare ki dar se prayog kare .","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Garh Mukteshwar","2018-10-05 10:04:42.370"
"0","HORTICULTURE","Vegetables","","","pea seed rate ?","kisan bhai aap matar ke beej dar 80 kg/hectare ki dar se prayog kare .","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Garh Mukteshwar","2018-10-05 10:04:42.370"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Varieties","Information of mustard varieties …?","Mustard varieties - Varuna (T-59), Urvashi, Rohini, Maya","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Dhaulana","2018-10-07 06:32:58.203"
"KHARIF","AGRICULTURE","Oilseeds","Mustard","Varieties","Information of mustard varieties …?","Mustard varieties - Varuna (T-59), Urvashi, Rohini, Maya","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Dhaulana","2018-10-07 06:32:58.203"
"0","AGRICULTURE","Others","Others","","mausam ki jankari ?
"," no Possibility Of  Rain In Next 5 Days
","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Dhaulana","2018-10-07 09:44:17.327"
"0","AGRICULTURE","Others","Others","","mausam ki jankari ?
"," no Possibility Of  Rain In Next 5 Days
","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Dhaulana","2018-10-07 09:44:17.327"
"0","HORTICULTURE","Vegetables","Cauliflower","","cabbage information ?","kisan bhai ap CARBENDAZIM 12 + MANCOZEB 63 % WP 1gm/liter ke dar se ghol bana kar spray kare ","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Hapur","2018-10-08 11:42:11.973"
"0","HORTICULTURE","Vegetables","Cauliflower","","cabbage information ?","kisan bhai ap CARBENDAZIM 12 + MANCOZEB 63 % WP 1gm/liter ke dar se ghol bana kar spray kare ","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Hapur","2018-10-08 11:42:11.973"
"0","AGRICULTURE","Others","Others","","4 sal pahle 27000 hajar liye the abhi tak rin mafi nahi hiu hai kissse sampark kare","31 march 2016 tak ke sare rin maf kiye ja chuke hai branch manager se sampark kare","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Garh Mukteshwar","2018-10-08 13:43:55.377"
"0","AGRICULTURE","Others","Others","","4 sal pahle 27000 hajar liye the abhi tak rin mafi nahi hiu hai kissse sampark kare","31 march 2016 tak ke sare rin maf kiye ja chuke hai branch manager se sampark kare","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Garh Mukteshwar","2018-10-08 13:43:55.377"
"0","HORTICULTURE","Vegetables","Cauliflower","","fungus control in cauliflower ..?","Dear farmer use to  Dimethoate 30% EC 2ml /liter water splash in the field
","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Hapur","2018-10-08 16:36:10.943"
"0","HORTICULTURE","Vegetables","Cauliflower","","fungus control in cauliflower ..?","Dear farmer use to  Dimethoate 30% EC 2ml /liter water splash in the field
","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Hapur","2018-10-08 16:36:10.943"
"0","AGRICULTURE","Others","","","Information of weather in Hapur..?
","kisan bhai aaj se poore saptah mausam saf rahega barish hone ki koi sambhavana nahi hai","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Dhaulana","2018-10-17 07:02:21.100"
"0","AGRICULTURE","Others","","","Information of weather in Hapur..?
","kisan bhai aaj se poore saptah mausam saf rahega barish hone ki koi sambhavana nahi hai","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Dhaulana","2018-10-17 07:02:21.100"
"0","AGRICULTURE","Others","Others","","Weather information of hapur..?….. ?","Kisan bhai aapke yaha aaj se 22 october tak barish hone ki sambhavna nahi hai 
","UTTAR PRADESH","HAPUR (PANCHSHEEL NAGAR)","Hapur","2018-10-17 15:26:09.367"
