"Season","Sector","Category","Crop","QueryType","QueryText","KCCAns","StateName","DistrictName","BlockName","CreatedOn"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Paddy crop panjikared information...?","kisan bhai aap up krashi nidesak se sampark kare .","UTTAR PRADESH","RAMPUR","SUAR                                              ","2018-10-01 08:48:11.780"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Paddy crop panjikared information...?","kisan bhai aap up krashi nidesak se sampark kare .","UTTAR PRADESH","RAMPUR","SUAR                                              ","2018-10-01 08:48:11.780"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","information about paddy....?","Dear former use to Buprofezin 25% SC 2ml /liter water splash in the field
","UTTAR PRADESH","RAMPUR","SUAR                                              ","2018-10-01 10:01:30.390"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","information about paddy....?","Dear former use to Buprofezin 25% SC 2ml /liter water splash in the field
","UTTAR PRADESH","RAMPUR","SUAR                                              ","2018-10-01 10:01:30.390"
"0","AGRICULTURE","Others","Others","","Give me about weather information……?
","Kisan bhai ap ke yhan 6 October tak mousam saf hai koi bhi baris nhi hai
","UTTAR PRADESH","RAMPUR","SAIDNAGAR                                         ","2018-10-01 10:11:54.377"
"0","AGRICULTURE","Others","Others","","Give me about weather information……?
","Kisan bhai ap ke yhan 6 October tak mousam saf hai koi bhi baris nhi hai
","UTTAR PRADESH","RAMPUR","SAIDNAGAR                                         ","2018-10-01 10:11:54.377"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Rampur district ...?","This week you are likely to have a clear weather","UTTAR PRADESH","RAMPUR","SHAHABAD                                          ","2018-10-01 11:06:03.690"
"KHARIF","AGRICULTURE","Others","Others","Weather","Weather information of Rampur district ...?","This week you are likely to have a clear weather","UTTAR PRADESH","RAMPUR","SHAHABAD                                          ","2018-10-01 11:06:03.690"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Government schemes?","Dear farmer Contact to your block for crop subsidy
","UTTAR PRADESH","RAMPUR","SHAHABAD                                          ","2018-10-01 11:15:02.743"
"0","AGRICULTURE","Cereals","Paddy (Dhan)","","Government schemes?","Dear farmer Contact to your block for crop subsidy
","UTTAR PRADESH","RAMPUR","SHAHABAD                                          ","2018-10-01 11:15:02.743"
"0","","","","","","","UTTAR PRADESH","RAMPUR","SUAR                                              ","2018-10-01 11:37:04.630"
"0","","","","","","","UTTAR PRADESH","RAMPUR","SUAR                                              ","2018-10-01 11:37:04.630"
"0","","","","","","","UTTAR PRADESH","RAMPUR","","2018-10-01 12:47:58.427"
"0","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","Insect problem of Okra..?","kisan bhai aap Monocrotophos 36% SL 2 ml / liter pani me spray kare.","UTTAR PRADESH","RAMPUR","MILAK                                             ","2018-10-01 18:44:07.363"
"0","HORTICULTURE","Vegetables","Bhindi(Okra/Ladysfinger)","","Insect problem of Okra..?","kisan bhai aap Monocrotophos 36% SL 2 ml / liter pani me spray kare.","UTTAR PRADESH","RAMPUR","MILAK                                             ","2018-10-01 18:44:07.363"
"0","","","","","","","UTTAR PRADESH","RAMPUR","","2018-10-02 10:55:51.117"
"0","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","","Varities of musterd ?","Kisan bhai aap rohidi,Maya,kranti,pusa bold ki buai kare .","UTTAR PRADESH","RAMPUR","MILAK                                             ","2018-10-02 14:08:31.250"
"0","AGRICULTURE","Oilseeds","Raya (Indian Mustard)","","Varities of musterd ?","Kisan bhai aap rohidi,Maya,kranti,pusa bold ki buai kare .","UTTAR PRADESH","RAMPUR","MILAK                                             ","2018-10-02 14:08:31.250"
"0","AGRICULTURE","Others","Others","","please give me weather information 
","kisan bhai ap ke kshetr me poore saptah halke badal ke sat Mausam saf rahne ka anuman hai
","UTTAR PRADESH","RAMPUR","SUAR                                              ","2018-10-03 08:42:51.137"
"0","AGRICULTURE","Others","Others","","please give me weather information 
","kisan bhai ap ke kshetr me poore saptah halke badal ke sat Mausam saf rahne ka anuman hai
","UTTAR PRADESH","RAMPUR","SUAR                                              ","2018-10-03 08:42:51.137"
"0","","","","","","","UTTAR PRADESH","RAMPUR","","2018-10-03 12:13:10.273"
"0","AGRICULTURE","Oilseeds","Mustard","","weed control in mustard crop ?","Pendimethalin 30% EC 1.5 liter used with 200 liter of water splash in the field
","UTTAR PRADESH","RAMPUR","MILAK                                             ","2018-10-03 17:58:39.410"
